video_id,label,title,description,view_count,like_count,thumbnail_url,local_thumbnail_path,duration,upload_date,channel_id,channel_name,video_url
EJDgq-1kAyc,Yes,স্থলে ও জলে উভয় স্থানেই বাংলাদেশকে ঘিরছে ভারত? | ক্যালকাটা নিউজ ডিজিটাল,"স্থলে ও জলে উভয় স্থানেই বাংলাদেশকে ঘিরছে ভারত?

বিপর্যস্ত বাংলাদেশ!  স্থলে ও জলে বাংলাদেশকে ভারত ঘিরছে? সম্প্রতি পাকিস্তানের সঙ্গে গোপন সামরিক চুক্তির তথ্য় ফাঁস | ইউনূস সরকারের আয়ু কী সীমিত ? তদারকি সরকারের বিরুদ্ধে আমেরিকা বড় পদক্ষেপ নিতে চলেছে? শপথের পর ক্ষমতায় ফিরেই ট্রাম্পের কী বড় সিদ্ধান্ত? গণমাধ্যমে ভেঙে পড়লেন মহঃ ইউনূস !

CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews #iskcon   #priest  #krishnadas  #brahmachari  #hindu  #dhaka  #bangladesh  #sheikhhasina  #muhammadyunus  #khaledazia  #hindumonk  #chinmoykrishnadas

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",3008309,24556,https://i.ytimg.com/vi/EJDgq-1kAyc/maxresdefault.jpg,thumbnails/EJDgq-1kAyc.jpg,1461,20241201,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=EJDgq-1kAyc
qiiGZqUcswM,No,"সনাতনী নিগ্রহের পর, এবার বাংলাদেশে মৌলবাদীদের নজরে ভারত-বিদ্বেষ? | ক্যালকাটা নিউজ ডিজিটাল","ভারত বিরোধিতা, মুখে মুখে হুঁশিয়ারি। বাংলাদেশের মৌলবাদীদের কি এবার যুদ্ধের হুংকার ? কার ইন্ধনে বিপথে বাংলাদেশ ?

CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews #seikh_hasina #muhammadyunus #khaledazia #bangladesh #bangladeshnews #awamileague #bangladeshnationalistparty #bangladesharmy #india #narendramodi 

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",1407846,11909,https://i.ytimg.com/vi/qiiGZqUcswM/maxresdefault.jpg,thumbnails/qiiGZqUcswM.jpg,2058,20241204,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=qiiGZqUcswM
Y8WxQXKgPwI,Yes,অপারেশন শুরু ভারতের! | ক্যালকাটা নিউজ ডিজিটাল,"জইশ-ই মহম্মদের কমান্ডার সহ ৫ পাকিস্তানি জঙ্গি নিকেশ ভারতের! আরাকান আর্মির স্বাধীন রাখাইন রাষ্ট্র ঘোষণা, সময়ের অপেক্ষা! দেশ ছাড়ার পথে ইউনূস? নজরে পাক প্রধানমন্ত্রীর সঙ্গে তাঁর বৈঠক। 

CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews 

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",1228049,10800,https://i.ytimg.com/vi/Y8WxQXKgPwI/maxresdefault.jpg,thumbnails/Y8WxQXKgPwI.jpg,1382,20241219,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=Y8WxQXKgPwI
BSmRECKj1ns,No,ভারত-বাংলাদেশ যুদ্ধের ডঙ্কা? | ক্যালকাটা নিউজ ডিজিটাল,"ভারত-বাংলাদেশ যুদ্ধে কে এগিয়ে? কেন ভয় পাচ্ছে বাংলাদেশ? ভারতের হামলা সামলাতে পারবে তো বাংলাদেশ? সামরিক শক্তির পরিসংখ্যানে ১৪৫টি দেশের মধ্যে ৩৭তম দেশ বাংলাদেশ। বাংলাদেশের সেনা সংখ্যা আনুমানিক ৬৯ লক্ষ ৬৩ হাজার। এর মধ্যে সক্রিয় সেনা রয়েছে আনুমানিক ১ লক্ষ ৬৩ হাজার। অন্যদিকে বিশ্বে মিলিটারি শক্তিতে সেরা পাঁচে রয়েছে ভারত। গ্লোবাল ফায়ারপাওয়ার ২০২৪ তথ্যানুযায়ী ভারতের স্থান চতুর্থ। ভারতের সেনা সংখ্যা ৫১ লক্ষ ৩৭ হাজার ৫৫০। এর মধ্যে সক্রিয় সেনা রয়েছে ১৪ লক্ষ ৫৫ হাজার ৫৫০। 


CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews #hindu  #dhaka  #bangladesh #muhammadyunus  #khaledazia  #hindumonk  #chinmoykrishnadas #india #primeministermodi  #jamat #bangladeshiarmy 

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",1082529,8681,https://i.ytimg.com/vi_webp/BSmRECKj1ns/maxresdefault.webp,thumbnails/BSmRECKj1ns.jpg,1306,20241202,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=BSmRECKj1ns
yar53B97ilc,No,"ধরা ছোঁয়ার বাইরে ভারত, তৈরি অত্যাধুনিক রণসজ্জায়। প্রমাদ গুনছে বাংলাদেশ ?  | ক্যালকাটা নিউজ ডিজিটাল","বাংলাদেশে অব্যাহত সনাতন নিপীড়ণ।চাপে পড়ে ইউনূস ডাকলেন সর্ব ধর্ম বৈঠক ? 
ভারতের অত্যাধুনিক অস্ত্রসজ্জায় ভীত না আন্তর্জাতিক চাপ ?

CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews 

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",813954,11016,https://i.ytimg.com/vi/yar53B97ilc/maxresdefault.jpg,thumbnails/yar53B97ilc.jpg,1688,20241206,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=yar53B97ilc
urtahLoNSuo,Yes,ভারতকে আক্রমণের পরিকল্পনা ?  | ক্যালকাটা নিউজ ডিজিটাল,"বাংলাদেশের ডিসেম্বর আতঙ্ক ! বর্ডার পেরিয়ে আঘাতের নীল নকশা ফাঁস ! সেনাবাহিনীর অন্দরে বইছে আতঙ্কের চোরা স্রোত ? 

CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews 

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",721633,9009,https://i.ytimg.com/vi/urtahLoNSuo/maxresdefault.jpg,thumbnails/urtahLoNSuo.jpg,1564,20241201,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=urtahLoNSuo
83uzMlbQQDs,No,ভারত বিরোধী আওয়াজ উঠছে বাংলাদেশে। সামরিক প্রস্তুতি শুরু ভারতের?  | ক্যালকাটা নিউজ ডিজিটাল,"আকাশে 'সোনিক বুম', আতঙ্কে বাংলাদেশ ! ভারতের নিশানায় কি বাংলাদেশের এয়ারবেস ?  যশোর,চট্টগ্রাম এয়ারবেসে  হাই অ্যালার্ট জারি । ভারতীয় বায়ু সেনার ভয়ে কাঁপছে বাংলাদেশ ?

CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews 

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",670791,4803,https://i.ytimg.com/vi/83uzMlbQQDs/maxresdefault.jpg,thumbnails/83uzMlbQQDs.jpg,1065,20241213,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=83uzMlbQQDs
HuGYa8pai2U,Yes,সীমান্তে যুদ্ধ প্রস্তুতি ? | ক্যালকাটা নিউজ ডিজিটাল,"সীমান্তে যুদ্ধ প্রস্তুতি ?

CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews 

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",640863,5137,https://i.ytimg.com/vi/HuGYa8pai2U/maxresdefault.jpg,thumbnails/HuGYa8pai2U.jpg,4108,20241206,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=HuGYa8pai2U
UCca85yhXEs,Yes,"জলে পঞ্চপাণ্ডব, স্থলে কালী!আতঙ্কে বাংলাদেশ?  | ক্যালকাটা নিউজ ডিজিটাল","ভয়ে কাঁপছে বাংলাদেশ! সার্জিক্যাল স্ট্রাইকের পথে ভারত? ঢাকাকে শিক্ষা দিতে অপারেশন 'হোয়াইট ওয়াশ'? কিভাবে হবে এই অপারেশন?

CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews 

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",599548,6191,https://i.ytimg.com/vi_webp/UCca85yhXEs/maxresdefault.webp,thumbnails/UCca85yhXEs.jpg,1430,20241213,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=UCca85yhXEs
-rbKyetESUE,No,সীমান্তে বাড়তে চলেছে সেনা মোতায়েন? | ক্যালকাটা নিউজ ডিজিটাল,"CN- এর খবরেই সিলমোহর? বাংলাদেশের উত্তপ্ত পরিস্থিতি, সীমান্তে বাড়ছে সেনা মোতায়েন? নদিয়াতে দেখা গেল ট্যাঙ্কার। 
CN Calcutta News
#calcuttanews #calcuttanewslive #kolkatanewslive #newsfrombengal #livenews #seikh_hasina #muhammadyunus #khaledazia #narendramodi #indianarmy #bangladesharmy #bangladesh #india #indiaborder #bangladeshborder 

For any query on Cable TV reception, please contact 9051399471

Download CN App for Apple: 
https://apps.apple.com/us/app/calcutta-news/id1244685218
Download CN App for Android: 
https://play.google.com/store/apps/details?id=com.cn.calcuttanews

Social Media Handles:

Facebook:- https://www.facebook.com/akdcalcuttanews
Instagram:- https://www.instagram.com/akdcalcuttanews
Twitter      :- https://twitter.com/calcutta_news

For information, contact  :  info.youtube@ctvn.co.in",597141,7810,https://i.ytimg.com/vi_webp/-rbKyetESUE/maxresdefault.webp,thumbnails/-rbKyetESUE.jpg,476,20241206,UCJ3I6MHOz5exARlTW_meOGQ,Calcutta News,https://www.youtube.com/watch?v=-rbKyetESUE
